ZCTA,city,logOR,SE,pov_percent,nohsgradpercent,NDI,outcome_sum
30114,ATL,0.001030288,0.006988463,11.57005271,19.29387377,-0.177979136,1033
30115,ATL,-0.011324185,0.009198496,6.098650726,12.87571872,-0.867038122,589
30116,ATL,0.013625847,0.009183315,15.54455071,22.48221014,0.406367878,613
30117,ATL,0.004885617,0.00733553,23.67626526,22.91220752,1.022969576,964
30120,ATL,0.009224686,0.005492414,13.9235997,22.75502966,0.212250955,1590
30121,ATL,0.000522434,0.009468357,13.23939587,22.20777385,0.315394709,587
30122,ATL,0.005926072,0.007654123,11.17537414,15.74856217,0.186873886,759
30126,ATL,0.00465771,0.007130383,11.47341743,13.96944644,-0.172219566,874
30127,ATL,-0.000438833,0.005163468,6.754664065,10.16645771,-0.729038125,1490
30132,ATL,0.005191625,0.006748332,9.556025598,17.38715502,-0.072962353,1007
30134,ATL,0.002406612,0.004664649,12.24991466,16.55951399,0.217824229,1786
30135,ATL,0.001826453,0.004787615,9.144322322,12.57990523,-0.430320993,1779
30137,ATL,0.037385032,0.029906232,14.89287498,26.51193907,0.182526031,73
30141,ATL,-0.000531363,0.008278228,7.971526728,14.63288299,-0.357668164,645
30143,ATL,0.009927929,0.015965339,10.50891281,20.68230658,-0.17620137,268
30144,ATL,0.005741164,0.00825207,9.188355858,7.331788041,-0.73496197,648
30145,ATL,0.000862091,0.015795037,9.399864169,17.86409491,-0.358605106,190
30152,ATL,0.008645009,0.009166998,6.920117075,5.620931054,-1.035613302,551
30153,ATL,-0.021586215,0.012145547,14.95721193,22.36873582,0.541609069,314
30157,ATL,0.010710953,0.006434553,7.739569502,14.94025746,-0.328445893,1182
30168,ATL,0.012231439,0.006828176,19.17604306,20.37856531,0.998177499,1018
30170,ATL,0.004533811,0.028443589,17.01516979,21.82100739,0.578881143,103
30171,ATL,0.026154813,0.026654976,10.85640823,16.3557683,-0.548823799,84
30175,ATL,-0.019749476,0.047109539,12.34194511,26.8064638,0.370406353,53
30178,ATL,-0.013937501,0.022869909,3.706540092,23.45353856,-0.455722647,93
30179,ATL,0.010247129,0.011760708,10.30080589,23.9796206,0.129438829,369
30180,ATL,0.004402016,0.007791763,10.96194925,19.22263335,-0.060178455,774
30183,ATL,-0.001845967,0.023661864,5.394262054,18.93513183,-0.67664898,127
30184,ATL,-0.00269043,0.018022532,12.91417913,22.19723679,-0.003694371,183
30185,ATL,0.018916238,0.021837757,8.463572294,29.87481488,0.262284426,131
30187,ATL,0.021447766,0.01317218,8.407659765,14.32424896,-0.842772452,235
30188,ATL,0.014424054,0.007569285,5.712311315,8.320693468,-1.005634978,743
30189,ATL,-0.008511573,0.010394183,4.031390207,7.019082622,-1.301270194,459
30213,ATL,0.01036068,0.009252927,12.10586088,15.12616402,0.268678347,551
30214,ATL,-0.010302776,0.009666819,7.472183591,10.67851295,-0.564268416,499
30215,ATL,0.005180425,0.008954461,3.079863528,5.647429889,-1.345097926,522
30220,ATL,-0.019626803,0.023389902,13.54577776,22.63303304,0.485763643,82
30223,ATL,-0.002920623,0.006000009,22.11047388,30.9656719,1.478883834,1102
30224,ATL,0.018137559,0.011182278,14.01708782,21.79368853,0.441899706,402
30228,ATL,-0.001920095,0.007922078,11.85710061,14.1643471,-0.051110771,680
30233,ATL,0.013348049,0.018505103,11.864489,24.6822863,0.257320119,122
30236,ATL,-0.000939326,0.006511317,13.99284811,18.22230744,0.452137673,968
30238,ATL,0.001117556,0.007073954,12.8119829,14.78032168,0.438174553,908
30248,ATL,-0.005960649,0.012201029,5.90674765,15.4140266,-0.620709437,304
30252,ATL,0.007927403,0.008484647,4.488399835,9.74384722,-1.012005898,528
30253,ATL,1.36E-05,0.006197962,10.45500544,11.41126928,-0.328500567,1011
30260,ATL,-0.007992455,0.009218643,13.35537501,21.07939448,0.776553443,537
30263,ATL,-0.003777634,0.006928094,15.93045015,20.00819648,0.303070904,1023
30265,ATL,-0.003276421,0.011083498,4.705002398,8.285767051,-1.085108507,386
30268,ATL,-0.022486069,0.015758904,11.66991224,17.22597293,0.213059689,202
30269,ATL,-0.002065868,0.008806923,4.637112052,4.209886218,-1.333687334,497
30273,ATL,0.004087756,0.01126901,12.93631681,11.68736459,0.175242335,351
30274,ATL,0.007091458,0.006965366,18.23496729,17.89715279,1.069145251,996
30276,ATL,-0.011764606,0.015516428,6.675378381,14.91441732,-0.559614919,200
30277,ATL,0.006164811,0.014767549,4.420382583,7.363327152,-1.246005967,192
30281,ATL,-0.005564183,0.005226563,9.011715499,12.75595495,-0.287585196,1432
30288,ATL,0.016120682,0.012239785,12.0090493,19.53511622,0.649703974,265
30290,ATL,0.036730006,0.029603254,3.828154269,8.645004883,-1.121903707,95
30291,ATL,0.00520873,0.009621693,19.486906,17.13461863,1.198288408,562
30292,ATL,-0.050475451,0.03342463,14.92932842,19.36295497,0.347022013,59
30294,ATL,-0.011359587,0.006314062,7.843788195,11.85129771,-0.190788414,983
30296,ATL,0.002306525,0.008619968,13.33818484,14.67192214,0.546573862,605
30297,ATL,0.013984648,0.008045204,27.83845847,34.2499351,2.151259865,664
30303,ATL,0.023907762,0.024668932,45.70122563,24.5994782,2.237900835,108
30305,ATL,0.015648112,0.020729955,8.542916645,3.494618878,-1.261953324,139
30306,ATL,0.042118913,0.022032867,7.222951271,3.470323746,-1.276586813,110
30307,ATL,0.015057712,0.011865362,12.10656475,4.922658667,-0.810188824,295
30308,ATL,-0.002912906,0.01153915,20.99566234,9.77010807,0.244398178,365
30309,ATL,0.004485176,0.019178662,10.65173259,4.234169285,-0.992011584,147
30310,ATL,0.005062035,0.004950572,34.63759048,26.62455653,2.524788885,1959
30311,ATL,0.011295076,0.005175715,29.3015397,20.40928663,2.229362194,1923
30312,ATL,0.006803866,0.006197845,30.88369183,18.5179355,1.287979711,1143
30313,ATL,-0.013198356,0.015859009,39.03283369,15.31213033,2.279826172,162
30314,ATL,0.014428049,0.005319977,35.81535621,25.84494873,2.982962506,1726
30315,ATL,-0.003083032,0.003754128,40.02687995,31.3349501,3.079742459,3269
30316,ATL,0.00219476,0.004835958,21.84883547,20.28510376,1.122144611,1746
30317,ATL,0.006083599,0.007117246,19.38704663,22.42838818,1.063402532,742
30318,ATL,-0.007075016,0.004014335,30.88718201,20.87654227,1.759298648,2807
30319,ATL,0.003249192,0.009081384,10.54333163,8.826900991,-0.840255054,559
30324,ATL,0.007239357,0.017157325,12.13711802,8.167125591,-0.658117079,187
30327,ATL,-0.003560645,0.013907633,4.604899903,1.812003706,-1.813902664,238
30328,ATL,0.014236478,0.010243959,6.72707024,3.751798436,-1.088292737,428
30329,ATL,0.007709606,0.0119098,20.27322688,17.28392238,0.365522622,368
30331,ATL,-0.00461984,0.004347358,18.37883977,13.21564137,1.021587521,2358
30337,ATL,-0.002625036,0.011093574,23.58757804,17.72492177,1.497667245,445
30338,ATL,0.008311311,0.011366681,5.460280927,3.072937667,-1.460828454,342
30339,ATL,0.013829958,0.018330288,8.093861316,3.292755798,-1.134423165,152
30340,ATL,0.000150362,0.008244953,20.73075589,26.81069665,0.870635245,645
30341,ATL,-0.003729119,0.008694912,15.55905254,21.15267644,0.123943267,522
30342,ATL,0.002968081,0.010167155,9.501139111,11.1883254,-0.734688413,423
30344,ATL,-0.005437379,0.006081549,20.76751651,21.0689288,1.40898744,1345
30345,ATL,-0.01878638,0.013207784,14.98585668,14.07021428,-0.297034399,267
30349,ATL,0.00310337,0.004954018,15.47562493,10.82712261,0.708119198,2020
30350,ATL,0.013105561,0.0088175,8.67420564,5.096014117,-0.732485799,581
30354,ATL,0.002238664,0.007143545,31.65677003,28.37152266,2.409448054,949
30360,ATL,-0.005059207,0.013851088,18.49961595,18.47252739,0.264383794,274
30506,ATL,-0.016737137,0.015919915,9.297956743,14.83727164,-0.536405469,245
30517,ATL,0.026256969,0.029566016,9.006688799,16.03176326,-0.442593053,74
30518,ATL,0.005074763,0.007380036,12.31522841,17.14402522,-0.310363701,890
30519,ATL,0.003098264,0.009455546,6.164659438,11.33942632,-0.976752538,580
30534,ATL,-0.00227189,0.012231565,12.37987573,18.89843923,-0.136825875,362
30548,ATL,0.013705183,0.019247761,5.179392213,13.48390863,-1.083200382,167
30620,ATL,0.001120696,0.012986631,7.64878859,18.46681742,-0.54137923,297
30655,ATL,0.008055874,0.006070757,18.93876598,27.66260366,0.875902919,1477
30656,ATL,0.013259798,0.014546593,11.87611971,22.90656889,0.148026749,314
30666,ATL,-0.046214736,0.037092277,10.09248388,22.76190566,0.230207372,74
30680,ATL,0.007518603,0.007024864,13.90659669,24.26704224,0.44482323,1104
62002,STL,0.011730435,0.009803796,17.42087625,13.79927225,0.419941769,502
62010,STL,0.028792096,0.023508093,8.18931802,10.69836561,-0.404591603,110
62012,STL,-0.040491797,0.035016752,6.254733101,11.96395236,-0.532187876,59
62018,STL,0.01384865,0.028482212,28.33554583,17.37191839,0.912640157,61
62025,STL,0.007838791,0.01626059,9.152060914,6.274517812,-0.801335656,214
62034,STL,-0.027934838,0.02679718,8.086425691,7.642143617,-0.734407567,110
62035,STL,0.027757373,0.028979444,10.17203296,10.83998166,-0.495843623,68
62040,STL,-0.004797969,0.012396455,13.58769625,16.56257662,0.257655744,323
62060,STL,0.001074962,0.043690398,31.00585683,29.56247061,2.030029728,51
62095,STL,0.035548177,0.023756719,13.05474672,13.21084587,0.105365171,109
62201,STL,-0.010910035,0.013591087,50.41606135,38.2295989,3.534548803,252
62203,STL,0.01934784,0.01798051,23.05936934,23.47652883,1.544776693,158
62204,STL,0.001336686,0.01154102,46.52407799,38.8354554,3.414526117,357
62205,STL,0.01351019,0.012828207,31.01553902,25.8047307,2.426562375,348
62206,STL,0.002228536,0.010023162,31.28018893,21.52825594,1.690259977,426
62207,STL,-0.009716965,0.014532425,41.54421089,28.63602011,2.966653631,231
62208,STL,0.031944571,0.029117322,7.499838902,10.29329007,-0.514569705,89
62220,STL,-0.012659529,0.024941785,14.59686519,12.62399548,0.143815319,120
62221,STL,0.005458279,0.022726773,7.940855848,8.875772662,-0.421506484,144
62223,STL,-0.010092691,0.021812137,7.524189411,8.379969577,-0.574081958,113
62226,STL,-0.024094729,0.022220359,10.81235879,11.01055158,-0.117649177,150
62232,STL,-0.00101352,0.032938978,12.67875457,16.21365399,0.163810863,68
62234,STL,-0.000782051,0.019380232,12.1553865,12.31409585,-0.104088778,196
62236,STL,0.026364991,0.027265103,3.349590706,9.035861582,-0.990542473,85
62249,STL,-0.008632195,0.034048636,4.56101243,8.769998255,-0.813411415,63
62269,STL,0.011415304,0.018400931,6.756674102,6.320081667,-0.786960475,161
62294,STL,0.04930633,0.031954598,5.071974286,8.791233945,-0.916143861,89
62298,STL,0.007070205,0.027687653,4.523738688,11.31573531,-0.819522491,94
63005,STL,-0.003394171,0.020193809,2.593868505,1.594169727,-1.884336155,158
63010,STL,0.013636233,0.01009699,6.426657034,13.76537033,-0.532625679,490
63011,STL,0.006861156,0.012474138,3.981266567,4.433417028,-1.259028624,291
63012,STL,-0.010386191,0.018834569,5.747774942,10.77973534,-0.716119825,157
63016,STL,0.04555436,0.025579375,9.336104254,17.12527137,-0.221183863,113
63017,STL,0.004700965,0.014048409,3.523148977,4.578766553,-1.377532505,295
63019,STL,-0.038126079,0.035427489,9.691305404,14.45237949,-0.122778231,60
63020,STL,-0.006315645,0.014099737,12.45035862,22.40009738,0.223329202,287
63021,STL,-0.009380484,0.010298466,3.823837879,4.116133023,-1.26483539,506
63023,STL,0.015321119,0.035715818,10.96699566,16.95452017,0.0969901,65
63025,STL,0.024347903,0.022007619,3.371055848,7.558149642,-1.168808972,117
63026,STL,-0.003279055,0.008988419,7.23887718,10.71723842,-0.656753462,613
63028,STL,-0.010202661,0.012118561,9.83719123,17.2845663,-0.092306334,369
63031,STL,0.015964984,0.006894993,5.438347041,11.01346602,-0.487165872,1288
63033,STL,0.000905116,0.005721917,7.623835302,10.095866,-0.250440586,1700
63034,STL,0.004963819,0.009775891,2.514727888,6.418314393,-0.980601142,545
63038,STL,-0.064086559,0.037681049,1.136716481,2.94492033,-1.741435226,65
63040,STL,0.011719645,0.024333557,3.119191261,2.37195275,-1.604874113,77
63042,STL,-0.017939799,0.011027367,9.037469553,11.123378,-0.047733408,552
63043,STL,0.008524823,0.014092358,6.830506449,10.1033043,-0.652676956,281
63044,STL,0.028265513,0.019816987,10.74083938,11.37810511,-0.188842675,178
63049,STL,0.005298523,0.017490356,6.072814048,12.48335031,-0.723334088,202
63050,STL,0.004265026,0.015872292,9.662019095,16.68863433,-0.208043761,182
63051,STL,-0.023272262,0.014549293,8.882779346,16.63223699,-0.239048051,216
63052,STL,0.022071001,0.01142675,7.937642365,12.59362186,-0.584805014,406
63069,STL,-0.030811789,0.017938771,9.538383224,16.92728519,-0.295576683,162
63070,STL,0.018794353,0.021877971,15.84146062,23.65553221,0.575341358,108
63074,STL,0.008655308,0.012486683,13.57431102,17.42815537,0.512829229,388
63077,STL,0.008958497,0.018796952,13.52135564,24.31069983,0.340605552,166
63080,STL,-0.007957989,0.017916614,12.24330688,23.51063083,0.325849395,176
63084,STL,-0.016715406,0.019531057,8.065422016,17.06006774,-0.222523692,143
63088,STL,0.010541693,0.019439591,10.74380945,10.28091802,-0.651469486,128
63089,STL,-0.004310031,0.027273759,12.57579516,18.1173989,-0.153776629,87
63090,STL,0.005117578,0.017330163,5.916021048,11.11569735,-0.639578017,163
63101,STL,0.011531265,0.023657819,20.16417447,11.89708051,0.775252561,103
63103,STL,0.028562974,0.020461024,28.75728733,19.22456896,1.234596291,128
63104,STL,0.006200875,0.006797773,27.51529994,15.67337664,0.89318459,1176
63105,STL,-0.025706647,0.023413979,7.561743998,3.083157907,-1.013265906,134
63106,STL,-0.007632309,0.005744539,51.88835994,34.46300268,4.024339654,1593
63107,STL,-0.004302336,0.005490609,38.02560325,32.44331173,3.038203422,1724
63108,STL,0.007495442,0.009102804,27.71821753,13.9430839,0.860198064,650
63109,STL,-0.018563265,0.013876253,8.732062491,10.81934056,-0.367511016,303
63110,STL,-0.006257098,0.006585182,19.84382975,19.03898691,0.82147039,1316
63111,STL,0.000497636,0.007061777,25.57443744,29.5062645,1.554283936,1030
63112,STL,0.003270942,0.005063454,33.02380471,22.69481747,1.881487943,2161
63113,STL,-0.000115678,0.005674544,34.18739979,29.36442775,2.605658738,1679
63114,STL,0.003363835,0.006384764,13.92496299,18.13591121,0.469047538,1281
63115,STL,-0.001393072,0.004645103,31.03346149,28.10341745,2.474263748,2567
63116,STL,0.003652273,0.005730444,19.64793631,22.23012206,0.826041384,1586
63117,STL,0.009430982,0.018511516,8.304803296,5.058526841,-0.715415451,167
63118,STL,0.001489101,0.0044604,32.37880929,28.47777947,2.065671017,2521
63119,STL,-0.007580831,0.009939171,7.115411541,5.891068953,-0.81306773,484
63120,STL,0.004214492,0.005951511,36.55506621,31.86103175,2.863095749,1489
63121,STL,-0.001701085,0.004948685,21.89648774,16.9412618,1.27392043,2220
63122,STL,-0.012657626,0.009750417,4.797320856,4.268312491,-1.123383175,462
63123,STL,-0.022162303,0.00974563,6.125966675,13.07601243,-0.427533068,610
63124,STL,0.001690786,0.033460058,4.075333509,2.609265108,-1.434402536,78
63125,STL,-0.01105538,0.009372902,12.27336287,20.01808599,0.210631103,560
63126,STL,0.000448158,0.019524734,3.16688862,6.650432076,-0.970083572,139
63127,STL,0.000506177,0.024038248,6.912962227,8.186182261,-0.900725383,81
63128,STL,-0.011905473,0.014691013,2.247183977,7.873579509,-1.069525056,214
63129,STL,-0.005529006,0.010738457,2.758684248,7.366474822,-1.020196279,455
63130,STL,0.006599535,0.006530542,14.82178277,10.5349134,0.01937688,1289
63131,STL,-0.007490282,0.025747829,3.107209722,2.162588877,-1.577291461,101
63132,STL,3.32E-05,0.010853476,10.4116275,8.654022009,-0.167405297,435
63133,STL,0.012814737,0.0070932,30.52363701,26.48378653,2.251347791,1116
63134,STL,0.001815151,0.006781475,16.64575493,20.82917974,1.004921685,1277
63135,STL,-0.000968634,0.00597246,15.89224305,14.98688677,0.729843951,1460
63136,STL,0.005667124,0.003508051,22.49053309,21.25521991,1.597875213,4359
63137,STL,0.008175647,0.006115555,18.23067616,17.76794956,0.994329051,1373
63138,STL,-0.011673075,0.006048584,19.73112869,15.77241777,0.953916526,1377
63139,STL,0.008039803,0.014692883,10.25156361,14.6025916,-0.188284336,272
63140,STL,0.067197419,0.037793895,36.1059368,24.68255105,2.933627975,72
63141,STL,-0.005031576,0.017498577,4.790420717,2.544734227,-1.405366794,170
63143,STL,-0.001068236,0.016607223,16.21233969,12.81400695,0.39962429,253
63144,STL,0.027318384,0.033291052,4.688874539,4.860471337,-0.947665247,54
63146,STL,-0.008950508,0.013698698,7.673569947,6.059226712,-0.779827164,273
63147,STL,0.005919807,0.007218141,27.1261068,24.25378682,1.868488307,1116
63301,STL,0.003145555,0.009356959,9.568353824,13.30915781,-0.210588105,584
63303,STL,-0.006002366,0.011720849,4.624784619,7.613005349,-0.967277187,388
63304,STL,-0.003253357,0.010428713,3.669060994,6.88472159,-1.20878479,442
63343,STL,0.002404418,0.033677814,16.89272421,22.11785333,0.45928284,64
63347,STL,-0.050969082,0.038028389,13.91836147,25.31416565,0.247529866,51
63348,STL,0.036667111,0.028390416,2.181298889,9.632532599,-1.138542077,62
63362,STL,0.020206969,0.021703642,10.5331585,21.3249913,0.189624309,127
63366,STL,-0.000773383,0.006979642,5.28965648,10.7728409,-0.741804135,1090
63367,STL,-0.012123518,0.020421103,3.792385513,4.87738899,-1.306094519,142
63376,STL,0.008973636,0.008123929,2.556683469,7.372434001,-1.05155025,799
63379,STL,0.022229025,0.013625896,9.838377314,15.869351,-0.215766285,313
63383,STL,-0.018007935,0.020092725,10.12789801,17.65262161,0.04961455,176
63385,STL,0.015041469,0.011745165,5.27506969,10.52056478,-0.801693622,422
63389,STL,-0.001615363,0.035773982,11.7698997,20.12980708,0.091336187,62
63390,STL,-0.024023114,0.019162504,18.8838167,19.43357361,0.405474753,112
63630,STL,0.046188777,0.028744577,27.4166938,41.95635766,1.970264631,78
63660,STL,0.009205357,0.035698106,19.05483204,33.62124562,1.259591299,62
63664,STL,0.018535559,0.019041082,23.98413778,31.95198885,1.308877911,189
65441,STL,-0.005351064,0.037344608,16.89811979,27.96627647,0.632649267,58
75002,DFW,-0.003160615,0.010238727,4.568223872,5.325115774,-1.04221537,404
75006,DFW,0.002411134,0.013724486,13.76852596,22.89803241,0.135378453,227
75007,DFW,-0.005516168,0.013534406,6.481222063,9.986153386,-0.715750218,258
75010,DFW,0.000387956,0.024705675,4.418269885,4.835370939,-0.958400703,88
75013,DFW,-0.000689603,0.019973391,3.431124199,3.377555292,-1.519264236,122
75019,DFW,0.022554167,0.011898366,2.819989506,4.036050419,-1.271201984,266
75022,DFW,0.018132253,0.017049567,2.944282897,3.438911486,-1.719007506,125
75023,DFW,0.011707489,0.009919258,6.988502474,6.657644457,-0.834370058,451
75024,DFW,0.006046204,0.016174391,4.10194927,1.742200223,-1.32068652,159
75025,DFW,0.019208603,0.012803209,4.389140578,2.691158371,-1.302056744,263
75028,DFW,-0.022317827,0.010806738,2.725907861,1.970484925,-1.427839535,327
75032,DFW,-0.025248414,0.030655623,5.987295866,9.581530808,-0.984990788,58
75034,DFW,-0.000912724,0.01343588,4.747168858,5.831973305,-1.249280987,245
75035,DFW,-0.011296314,0.016662561,3.883892927,2.876948868,-1.328984898,164
75038,DFW,0.021597364,0.011248507,13.78467974,10.22630275,-0.042919157,327
75040,DFW,0.002337306,0.006657742,14.93248192,27.96662782,0.345303161,927
75041,DFW,0.016876086,0.010428128,20.57883459,35.45662166,0.989068238,383
75042,DFW,0.004688983,0.008831934,22.37129556,35.15150536,1.23988097,584
75043,DFW,0.014685,0.007298851,10.51776807,16.32277286,-0.019626748,709
75044,DFW,0.004766078,0.009947137,6.444335279,12.65760181,-0.483371638,425
75048,DFW,0.016426908,0.019024209,4.63547662,9.27314169,-1.066036517,121
75050,DFW,0.004782509,0.00967751,18.50025337,23.78619974,0.563972121,417
75051,DFW,0.003265293,0.008639983,21.47622272,33.90180985,1.144057943,511
75052,DFW,-0.00533912,0.006495799,11.06738789,16.71265158,-0.195702169,852
75054,DFW,0.0316179,0.030459528,4.754244344,3.408301422,-1.545366198,56
75056,DFW,0.011344112,0.01075994,3.619501729,6.877268396,-1.03167184,317
75057,DFW,0.012427086,0.012549084,16.90265878,30.88106223,0.55144365,239
75060,DFW,0.003187644,0.008370485,18.99031646,33.22030239,0.953835243,541
75061,DFW,0.015363841,0.007793038,20.93089926,35.49709563,1.092566464,601
75062,DFW,0.001239474,0.008877762,17.81922616,20.64624696,0.423375329,519
75063,DFW,0.000853248,0.012673009,6.074357914,4.512605991,-0.894607302,280
75065,DFW,-0.000390007,0.018971276,5.053608086,6.768575491,-0.756807992,121
75067,DFW,0.010874048,0.006621276,9.552276927,12.33896921,-0.293354851,848
75068,DFW,0.004306455,0.015580997,5.947663751,13.15969513,-0.681597009,179
75069,DFW,-0.019937224,0.009963219,21.33220757,20.42318229,0.452881827,500
75070,DFW,0.004089446,0.011387904,4.887522981,2.832503252,-1.34524643,375
75074,DFW,-0.004630923,0.0088422,13.69070293,21.29296308,0.072572333,520
75075,DFW,0.008394056,0.012116167,8.323536318,5.908998943,-0.843409432,302
75077,DFW,0.018619316,0.011450035,3.577038682,2.721265317,-1.310678127,294
75080,DFW,0.005949402,0.013777923,15.31869763,12.31128355,-0.204572841,222
75081,DFW,0.012007497,0.013231695,8.002814085,8.681852736,-0.550715172,268
75082,DFW,0.011886539,0.026494378,2.444563422,5.468354654,-1.391991881,80
75087,DFW,0.008899597,0.02757489,4.797564248,6.938511686,-1.001081275,57
75088,DFW,0.002499693,0.017938575,4.581243336,10.11504553,-0.792041849,137
75089,DFW,0.016085169,0.015993788,4.255409804,9.741350526,-0.938460575,157
75093,DFW,-0.008146803,0.010613429,4.757129626,2.894983974,-1.281657995,377
75094,DFW,-0.015981643,0.019658256,5.750730584,3.717328046,-1.366832484,109
75098,DFW,-0.004969488,0.009619909,4.422895344,8.310066711,-0.85990525,432
75104,DFW,-0.000832395,0.006917548,8.270385822,9.246498731,-0.45554335,713
75114,DFW,-0.010354728,0.028082868,7.824387967,15.61815183,-0.476633798,80
75115,DFW,-0.005218208,0.007361565,8.362585541,7.24926432,-0.339095432,699
75116,DFW,0.02778511,0.011643389,17.53547912,20.06102133,0.319794447,283
75119,DFW,0.006967281,0.023727678,18.19762199,26.76742011,0.571684521,108
75125,DFW,-0.055360266,0.035384535,20.14063644,33.95024278,0.818983679,64
75126,DFW,-0.009873629,0.015661544,4.408647906,7.827480166,-1.023055156,180
75134,DFW,0.013195988,0.0110707,16.53190238,16.45182708,0.703887012,285
75137,DFW,0.002742646,0.011653533,10.0035343,13.2357628,-0.211081952,271
75142,DFW,-0.000950953,0.011779693,13.87029359,22.57383662,0.066744062,334
